template,final_state,bin_low,bin_high,signal,background,signal_raw,background_raw,paper_label,seed,domain_for_likelihood
m4l,FourMuons,125.0,128.05555555555554,0.8531485795974731,0.3627445697784424,680,88,m4l_reference,42,nominal_only
m4l,FourMuons,128.05555555555554,131.11111111111111,0.0326203815639019,0.40808767080307007,26,99,m4l_reference,42,nominal_only
m4l,FourMuons,131.11111111111111,134.16666666666666,0.005018520634621382,0.32152366638183594,4,78,m4l_reference,42,nominal_only
m4l,FourMuons,134.16666666666666,137.22222222222223,0.0012546301586553454,0.3091573417186737,1,75,m4l_reference,42,nominal_only
m4l,FourMuons,137.22222222222223,140.27777777777777,0.0,0.38747721910476685,0,94,m4l_reference,42,nominal_only
m4l,FourMuons,140.27777777777777,143.33333333333331,0.0012546301586553454,0.30091312527656555,1,73,m4l_reference,42,nominal_only
m4l,FourMuons,143.33333333333331,146.38888888888889,0.0,0.3627445697784424,0,88,m4l_reference,42,nominal_only
m4l,FourMuons,146.38888888888889,149.44444444444446,0.0,0.3503783345222473,0,85,m4l_reference,42,nominal_only
m4l,FourMuons,149.44444444444446,152.5,0.0,0.35862255096435547,0,87,m4l_reference,42,nominal_only
m4l,FourMuons,152.5,155.55555555555554,0.0,0.2720584571361542,0,66,m4l_reference,42,nominal_only
m4l,FourMuons,155.55555555555554,158.6111111111111,0.0,0.21022696793079376,0,51,m4l_reference,42,nominal_only
m4l,FourMuons,158.6111111111111,161.66666666666666,0.0,0.2844247817993164,0,69,m4l_reference,42,nominal_only
m4l,FourMuons,161.66666666666666,164.72222222222223,0.0,0.333889901638031,0,81,m4l_reference,42,nominal_only
m4l,FourMuons,164.72222222222223,167.77777777777777,0.0,0.29266899824142456,0,71,m4l_reference,42,nominal_only
m4l,FourMuons,167.77777777777777,170.83333333333331,0.0,0.32976779341697693,0,80,m4l_reference,42,nominal_only
m4l,FourMuons,170.83333333333331,173.88888888888889,0.0012546301586553454,0.3915993273258209,1,95,m4l_reference,42,nominal_only
m4l,FourMuons,173.88888888888889,176.94444444444446,0.0,0.4286981225013733,0,104,m4l_reference,42,nominal_only
m4l,FourMuons,176.94444444444446,180.0,0.0,0.6141926050186157,0,149,m4l_reference,42,nominal_only
m4l,FourElectrons,70.0,73.05555555555556,0.0012546301586553454,0.03709816560149193,1,9,m4l_reference,42,nominal_only
m4l,FourElectrons,73.05555555555556,76.11111111111111,0.0,0.024732111021876335,0,6,m4l_reference,42,nominal_only
m4l,FourElectrons,76.11111111111111,79.16666666666667,0.0012546301586553454,0.08244036883115768,1,20,m4l_reference,42,nominal_only
m4l,FourElectrons,79.16666666666667,82.22222222222223,0.0012546301586553454,0.230833038687706,1,56,m4l_reference,42,nominal_only
m4l,FourElectrons,82.22222222222223,85.27777777777777,0.002509260317310691,0.5111302733421326,2,124,m4l_reference,42,nominal_only
m4l,FourElectrons,85.27777777777777,88.33333333333333,0.0012546301586553454,1.1912633180618286,1,289,m4l_reference,42,nominal_only
m4l,FourElectrons,88.33333333333333,91.38888888888889,0.0,2.011544942855835,0,488,m4l_reference,42,nominal_only
m4l,FourElectrons,91.38888888888889,94.44444444444444,0.0012546301586553454,1.842542290687561,1,447,m4l_reference,42,nominal_only
m4l,FourElectrons,94.44444444444444,97.5,0.0012546301586553454,0.729597270488739,1,177,m4l_reference,42,nominal_only
m4l,FourElectrons,97.5,100.55555555555556,0.005018520634621382,0.28029724955558777,4,68,m4l_reference,42,nominal_only
m4l,FourElectrons,100.55555555555556,103.61111111111111,0.010037041269242764,0.13190458714962006,8,32,m4l_reference,42,nominal_only
m4l,FourElectrons,103.61111111111111,106.66666666666666,0.006273150909692049,0.10717247426509857,5,26,m4l_reference,42,nominal_only
m4l,FourElectrons,106.66666666666666,109.72222222222223,0.0037638903595507145,0.15663670003414154,3,38,m4l_reference,42,nominal_only
m4l,FourElectrons,109.72222222222223,112.77777777777777,0.008782410994172096,0.10305045545101166,7,25,m4l_reference,42,nominal_only
m4l,FourElectrons,112.77777777777777,115.83333333333333,0.018819451332092285,0.11953853070735931,15,29,m4l_reference,42,nominal_only
m4l,FourElectrons,115.83333333333333,118.88888888888889,0.06022224947810173,0.15663670003414154,48,38,m4l_reference,42,nominal_only
m4l,FourElectrons,118.88888888888889,121.94444444444444,0.13926397264003754,0.15663670003414154,111,38,m4l_reference,42,nominal_only
m4l,FourElectrons,121.94444444444444,125.0,0.43535667657852173,0.1772467941045761,347,43,m4l_reference,42,nominal_only
m4l,FourElectrons,125.0,128.05555555555554,0.4403752088546753,0.18961285054683685,351,46,m4l_reference,42,nominal_only
m4l,FourElectrons,128.05555555555554,131.11111111111111,0.11793525516986847,0.13190458714962006,94,32,m4l_reference,42,nominal_only
m4l,FourElectrons,131.11111111111111,134.16666666666666,0.033875010907649994,0.24319909512996674,27,59,m4l_reference,42,nominal_only
m4l,FourElectrons,134.16666666666666,137.22222222222223,0.012546301819384098,0.21022294461727142,10,51,m4l_reference,42,nominal_only
m4l,FourElectrons,137.22222222222223,140.27777777777777,0.006273150909692049,0.18136881291866302,5,44,m4l_reference,42,nominal_only
m4l,FourElectrons,140.27777777777777,143.33333333333331,0.0,0.21434496343135834,0,52,m4l_reference,42,nominal_only
m4l,FourElectrons,143.33333333333331,146.38888888888889,0.0,0.1483926624059677,0,36,m4l_reference,42,nominal_only
m4l,FourElectrons,146.38888888888889,149.44444444444446,0.0,0.18136881291866302,0,44,m4l_reference,42,nominal_only
m4l,FourElectrons,149.44444444444446,152.5,0.0,0.230833038687706,0,56,m4l_reference,42,nominal_only
m4l,FourElectrons,152.5,155.55555555555554,0.0,0.2349550575017929,0,57,m4l_reference,42,nominal_only
m4l,FourElectrons,155.55555555555554,158.6111111111111,0.0,0.2555651366710663,0,62,m4l_reference,42,nominal_only
m4l,FourElectrons,158.6111111111111,161.66666666666666,0.0,0.21846698224544525,0,53,m4l_reference,42,nominal_only
m4l,FourElectrons,161.66666666666666,164.72222222222223,0.0,0.21846698224544525,0,53,m4l_reference,42,nominal_only
m4l,FourElectrons,164.72222222222223,167.77777777777777,0.0,0.22258900105953217,0,54,m4l_reference,42,nominal_only
m4l,FourElectrons,167.77777777777777,170.83333333333331,0.0,0.21434496343135834,0,52,m4l_reference,42,nominal_only
m4l,FourElectrons,170.83333333333331,173.88888888888889,0.0,0.24319909512996674,0,59,m4l_reference,42,nominal_only
m4l,FourElectrons,173.88888888888889,176.94444444444446,0.0012546301586553454,0.3462495505809784,1,84,m4l_reference,42,nominal_only
m4l,FourElectrons,176.94444444444446,180.0,0.0,0.4946422278881073,0,120,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,70.0,73.05555555555556,0.002509260317310691,0.08681842684745789,2,9,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,73.05555555555556,76.11111111111111,0.0012546301586553454,0.02893947623670101,1,3,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,76.11111111111111,79.16666666666667,0.0012546301586553454,0.1543438732624054,1,16,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,79.16666666666667,82.22222222222223,0.007527781184762716,0.2701018154621124,6,28,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,82.22222222222223,85.27777777777777,0.002509260317310691,0.6559613347053528,2,68,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,85.27777777777777,88.33333333333333,0.0,1.5723779201507568,0,163,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,88.33333333333333,91.38888888888889,0.0012546301586553454,4.109405517578125,1,426,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,91.38888888888889,94.44444444444444,0.0037638903595507145,3.2894532680511475,3,341,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,94.44444444444444,97.5,0.0037638903595507145,1.157578945159912,3,120,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,97.5,100.55555555555556,0.010037041269242764,0.4726780951023102,8,49,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,100.55555555555556,103.61111111111111,0.006273150909692049,0.19292983412742615,5,20,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,103.61111111111111,106.66666666666666,0.015055562369525433,0.2797483205795288,12,29,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,106.66666666666666,109.72222222222223,0.017564821988344193,0.37621328234672546,14,39,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,109.72222222222223,112.77777777777777,0.025092599913477898,0.5112640857696533,20,53,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,112.77777777777777,115.83333333333333,0.05896761268377304,0.5402035117149353,47,56,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,115.83333333333333,118.88888888888889,0.09535190463066101,0.3955061733722687,76,41,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,118.88888888888889,121.94444444444444,0.28605568408966064,0.4630315899848938,228,48,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,121.94444444444444,125.0,1.0840004682540894,0.5498499870300293,864,57,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,125.0,128.05555555555554,1.1944078207015991,0.5594964623451233,952,58,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,128.05555555555554,131.11111111111111,0.19823157787322998,0.5594964623451233,158,58,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,131.11111111111111,134.16666666666666,0.0326203815639019,0.6173754334449768,26,64,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,134.16666666666666,137.22222222222223,0.007527781184762716,0.5594964623451233,6,58,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,137.22222222222223,140.27777777777777,0.0012546301586553454,0.6077288389205933,1,63,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,140.27777777777777,143.33333333333331,0.002509260317310691,0.6656078100204468,2,69,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,143.33333333333331,146.38888888888889,0.0,0.4630315899848938,0,48,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,146.38888888888889,149.44444444444446,0.0,0.4437386989593506,0,46,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,149.44444444444446,152.5,0.0,0.5209105610847473,0,54,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,152.5,155.55555555555554,0.0,0.4244456887245178,0,44,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,155.55555555555554,158.6111111111111,0.0,0.5980823636054993,0,62,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,158.6111111111111,161.66666666666666,0.0012546301586553454,0.4437386989593506,1,46,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,161.66666666666666,164.72222222222223,0.0,0.48232460021972656,0,50,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,164.72222222222223,167.77777777777777,0.0012546301586553454,0.5305570363998413,1,55,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,167.77777777777777,170.83333333333331,0.0,0.5594964623451233,0,58,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,170.83333333333331,173.88888888888889,0.0,0.5980823636054993,0,62,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,173.88888888888889,176.94444444444446,0.0,0.8103051781654358,0,84,m4l_reference,42,nominal_only
m4l,TwoMuonsTwoElectrons,176.94444444444446,180.0,0.0,0.8971235752105713,0,93,m4l_reference,42,nominal_only
shared_baseline,FourMuons,0.0,0.05,0.013800932094454765,61.46871566772461,11,14912,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.05,0.1,0.005018520634621382,2.0981476306915283,4,509,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.1,0.15000000000000002,0.0012546301586553454,0.7625880241394043,1,185,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.15000000000000002,0.2,0.0037638903595507145,0.34625622630119324,3,84,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.2,0.25,0.0012546301586553454,0.2844247817993164,1,69,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.25,0.30000000000000004,0.0037638903595507145,0.201982781291008,3,49,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.30000000000000004,0.35000000000000003,0.0,0.17312809824943542,0,42,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.35000000000000003,0.4,0.0037638903595507145,0.16900600492954254,3,41,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.4,0.45,0.0037638903595507145,0.14427341520786285,3,35,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.45,0.5,0.002509260317310691,0.14427341520786285,2,35,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.5,0.55,0.005018520634621382,0.16900600492954254,4,41,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.55,0.6000000000000001,0.0012546301586553454,0.12778505682945251,1,31,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.6000000000000001,0.65,0.0037638903595507145,0.14839550852775574,3,36,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.65,0.7000000000000001,0.006273150909692049,0.12366295605897903,5,30,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.7000000000000001,0.75,0.006273150909692049,0.16900600492954254,5,41,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.75,0.8,0.01129167154431343,0.18549437820911407,9,45,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.8,0.8500000000000001,0.020074082538485527,0.18961647152900696,16,46,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.8500000000000001,0.9,0.028856487944722176,0.3132794499397278,23,76,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.9,0.9500000000000001,0.15431950986385345,0.47816333174705505,123,116,shared_baseline,42,nominal_only
shared_baseline,FourMuons,0.9500000000000001,1.0,2.050065755844116,1.187164068222046,1634,288,shared_baseline,42,nominal_only
shared_baseline,FourElectrons,0.0,0.05,0.012546301819384098,42.94318771362305,10,10418,shared_baseline,42,nominal_only
shared_baseline,FourElectrons,0.05,0.1,0.005018520634621382,1.1871412992477417,4,288,shared_baseline,42,nominal_only
shared_baseline,FourElectrons,0.1,0.15000000000000002,0.0037638903595507145,0.3833477199077606,3,93,shared_baseline,42,nominal_only
shared_baseline,FourElectrons,0.15000000000000002,0.2,0.0037638903595507145,0.23907707631587982,3,58,shared_baseline,42,nominal_only
shared_baseline,FourElectrons,0.2,0.25,0.005018520634621382,0.14014862477779388,4,34,shared_baseline,42,nominal_only
shared_baseline,FourElectrons,0.25,0.30000000000000004,0.0012546301586553454,0.18549083173274994,1,45,shared_baseline,42,nominal_only
shared_baseline,FourElectrons,0.30000000000000004,0.35000000000000003,0.0012546301586553454,0.09068440645933151,1,22,shared_baseline,42,nominal_only
shared_baseline,FourElectrons,0.35000000000000003,0.4,0.005018520634621382,0.06183027848601341,4,15,shared_baseline,42,nominal_only
shared_baseline,FourElectrons,0.4,0.45,0.002509260317310691,0.07419633120298386,2,18,shared_baseline,42,nominal_only
shared_baseline,FourElectrons,0.45,0.5,0.005018520634621382,0.07419633120298386,4,18,shared_baseline,42,nominal_only
shared_baseline,FourElectrons,0.5,0.55,0.002509260317310691,0.0577082596719265,2,14,shared_baseline,42,nominal_only
shared_baseline,FourElectrons,0.55,0.6000000000000001,0.005018520634621382,0.07831835001707077,4,19,shared_baseline,42,nominal_only
shared_baseline,FourElectrons,0.6000000000000001,0.65,0.005018520634621382,0.03709816560149193,4,9,shared_baseline,42,nominal_only
shared_baseline,FourElectrons,0.65,0.7000000000000001,0.010037041269242764,0.1154165118932724,8,28,shared_baseline,42,nominal_only
shared_baseline,FourElectrons,0.7000000000000001,0.75,0.006273150909692049,0.12778256833553314,5,31,shared_baseline,42,nominal_only
shared_baseline,FourElectrons,0.75,0.8,0.008782410994172096,0.06595229357481003,7,16,shared_baseline,42,nominal_only
shared_baseline,FourElectrons,0.8,0.8500000000000001,0.020074082538485527,0.09068440645933151,16,22,shared_baseline,42,nominal_only
